"iso_code"	"continent"	"location"	"date"	"total_cases"	"new_cases"	"new_cases_smoothed"	"total_deaths"	"new_deaths"	"new_deaths_smoothed"	"total_cases_per_million"	"new_cases_per_million"	"new_cases_smoothed_per_million"	"total_deaths_per_million"	"new_deaths_per_million"	"new_deaths_smoothed_per_million"	"reproduction_rate"	"icu_patients"	"icu_patients_per_million"	"hosp_patients"	"hosp_patients_per_million"	"weekly_icu_admissions"	"weekly_icu_admissions_per_million"	"weekly_hosp_admissions"	"weekly_hosp_admissions_per_million"	"new_tests"	"total_tests"	"total_tests_per_thousand"	"new_tests_per_thousand"	"new_tests_smoothed"	"new_tests_smoothed_per_thousand"	"positive_rate"	"tests_per_case"	"tests_units"	"total_vaccinations"	"people_vaccinated"	"people_fully_vaccinated"	"new_vaccinations"	"new_vaccinations_smoothed"	"total_vaccinations_per_hundred"	"people_vaccinated_per_hundred"	"people_fully_vaccinated_per_hundred"	"new_vaccinations_smoothed_per_million"	"stringency_index"	"population"	"population_density"	"median_age"	"aged_65_older"	"aged_70_older"	"gdp_per_capita"	"extreme_poverty"	"cardiovasc_death_rate"	"diabetes_prevalence"	"female_smokers"	"male_smokers"	"handwashing_facilities"	"hospital_beds_per_thousand"	"life_expectancy"	"human_development_index"	"excess_mortality"
"11697"	"BOL"	"South America"	"Bolivia"	"2021-06-30"	439624	2001	1839.429	16767	65	62.571	37661.519	171.421	157.579	1436.388	5.568	5.36	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	""	2549403	1857751	691652	NA	36441	21.84	15.91	5.93	3122	NA	11673029	10.202	25.4	6.704	4.393	6885.829	7.1	204.299	6.89	NA	NA	25.383	1.1	71.51	0.718	NA
"12181"	"BIH"	"Europe"	"Bosnia and Herzegovina"	"2021-06-30"	205022	18	16	9665	2	2	62491.18	5.486	4.877	2945.914	0.61	0.61	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	""	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	3280815	68.496	42.5	16.569	10.711	11713.895	0.2	329.635	10.08	30.2	47.7	97.164	3.5	77.4	0.78	NA
"12639"	"BWA"	"Africa"	"Botswana"	"2021-06-30"	69680	0	553.143	1125	0	8	29630.575	0	235.217	478.393	0	3.402	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	""	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2351625	4.044	25.8	3.941	2.242	15807.374	NA	237.372	4.81	5.7	34.4	NA	1.8	69.59	0.735	NA
"13130"	"BRA"	"South America"	"Brazil"	"2021-06-30"	18557141	43836	55322.857	518066	2081	1565.286	87303.315	206.229	260.27	2437.276	9.79	7.364	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	""	101476804	74354809	27121995	2649319	1411834	47.74	34.98	12.76	6642	NA	212559409	25.04	33.5	8.552	5.06	14103.452	3.4	177.961	8.11	10.1	17.9	NA	2.2	75.88	0.765	NA
"13645"	"BRN"	"Asia"	"Brunei"	"2021-06-30"	260	1	0.571	3	0	0	594.309	2.286	1.306	6.857	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	""	NA	NA	NA	NA	NA	NA	NA	NA	NA	40.74	437483	81.347	32.4	4.591	2.382	71809.251	NA	201.285	12.79	2	30.9	NA	2.7	75.86	0.838	NA
"14125"	"BGR"	"Europe"	"Bulgaria"	"2021-06-30"	421829	78	70	18061	12	6.857	60708.403	11.226	10.074	2599.287	1.727	0.987	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	""	1761277	955804	805473	13012	9426	25.35	13.76	11.59	1357	NA	6948445	65.18	44.7	20.801	13.272	18563.307	1.5	424.688	5.81	30.1	44.4	NA	7.454	75.05	0.816	NA
"14603"	"BFA"	"Africa"	"Burkina Faso"	"2021-06-30"	13479	0	0.857	168	0	0	644.827	0	0.041	8.037	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	""	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	20903278	70.151	17.6	2.409	1.358	1703.102	43.7	269.048	2.42	1.6	23.9	11.877	0.4	61.58	0.452	NA
"15060"	"BDI"	"Africa"	"Burundi"	"2021-06-30"	5452	24	21.714	8	0	0	458.506	2.018	1.826	0.673	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	""	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	11890781	423.062	17.5	2.562	1.504	702.225	71.7	293.068	6.05	NA	NA	6.144	0.8	61.58	0.433	NA
"15581"	"KHM"	"Asia"	"Cambodia"	"2021-06-30"	50385	1130	810.571	602	27	18.143	3013.642	67.588	48.482	36.007	1.615	1.085	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	""	7251656	4202751	3048905	158173	124725	43.37	25.14	18.24	7460	NA	16718971	90.672	25.6	4.412	2.385	3645.07	NA	270.892	4	2	33.7	66.229	0.8	69.82	0.594	NA
"16063"	"CMR"	"Africa"	"Cameroon"	"2021-06-30"	80858	0	53	1324	0	0.571	3045.974	0	1.997	49.876	0	0.022	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	""	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	26545864	50.885	18.8	3.165	1.919	3364.926	23.8	244.661	7.2	NA	NA	2.735	1.3	59.29	0.563	NA
