"iso_code"	"continent"	"location"	"date"	"total_cases"	"new_cases"	"new_cases_smoothed"	"total_deaths"	"new_deaths"	"new_deaths_smoothed"	"total_cases_per_million"	"new_cases_per_million"	"new_cases_smoothed_per_million"	"total_deaths_per_million"	"new_deaths_per_million"	"new_deaths_smoothed_per_million"	"reproduction_rate"	"icu_patients"	"icu_patients_per_million"	"hosp_patients"	"hosp_patients_per_million"	"weekly_icu_admissions"	"weekly_icu_admissions_per_million"	"weekly_hosp_admissions"	"weekly_hosp_admissions_per_million"	"new_tests"	"total_tests"	"total_tests_per_thousand"	"new_tests_per_thousand"	"new_tests_smoothed"	"new_tests_smoothed_per_thousand"	"positive_rate"	"tests_per_case"	"tests_units"	"total_vaccinations"	"people_vaccinated"	"people_fully_vaccinated"	"new_vaccinations"	"new_vaccinations_smoothed"	"total_vaccinations_per_hundred"	"people_vaccinated_per_hundred"	"people_fully_vaccinated_per_hundred"	"new_vaccinations_smoothed_per_million"	"stringency_index"	"population"	"population_density"	"median_age"	"aged_65_older"	"aged_70_older"	"gdp_per_capita"	"extreme_poverty"	"cardiovasc_death_rate"	"diabetes_prevalence"	"female_smokers"	"male_smokers"	"handwashing_facilities"	"hospital_beds_per_thousand"	"life_expectancy"	"human_development_index"	"excess_mortality"
"28"	"AND"	"Europe"	"Andorra"	"2021-04-30"	13232	34	32.143	125	0	0.286	171254.773	440.044	416.008	1617.809	0	3.698	0.83	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	450	5.824	0.071	14	"people tested"	NA	NA	NA	NA	159	NA	NA	NA	2058	65.74	77265	163.755	NA	NA	NA	NA	NA	109.135	7.97	29	37.8	NA	NA	83.73	0.868	NA
"29"	"AND"	"Europe"	"Andorra"	"2021-05-31"	13727	34	22.571	127	0	0	177661.296	440.044	292.13	1643.694	0	0	0.66	NA	NA	NA	NA	NA	NA	NA	NA	NA	191856	2483.091	NA	198	2.563	0.114	8.8	"people tested"	35916	27613	8303	NA	257	46.48	35.74	10.75	3326	43.52	77265	163.755	NA	NA	NA	NA	NA	109.135	7.97	29	37.8	NA	NA	83.73	0.868	NA
"30"	"AND"	"Europe"	"Andorra"	"2021-06-30"	13911	11	5.429	127	0	0	180042.71	142.367	70.259	1643.694	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	""	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	77265	163.755	NA	NA	NA	NA	NA	109.135	7.97	29	37.8	NA	NA	83.73	0.868	NA
"31"	"AGO"	"Africa"	"Angola"	"2021-01-31"	19796	14	56.714	466	2	1	602.32	0.426	1.726	14.179	0.061	0.03	0.89	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	""	NA	NA	NA	NA	NA	NA	NA	NA	NA	62.96	32866268	23.89	16.8	2.405	1.362	5819.495	NA	276.045	3.94	NA	NA	26.664	NA	61.15	0.581	NA
"32"	"AGO"	"Africa"	"Angola"	"2021-02-28"	20807	25	41.143	508	2	1.286	633.081	0.761	1.252	15.457	0.061	0.039	1.03	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	""	NA	NA	NA	NA	NA	NA	NA	NA	NA	58.33	32866268	23.89	16.8	2.405	1.362	5819.495	NA	276.045	3.94	NA	NA	26.664	NA	61.15	0.581	NA
"33"	"AGO"	"Africa"	"Angola"	"2021-03-31"	22311	129	67.857	537	1	0.714	678.842	3.925	2.065	16.339	0.03	0.022	1.22	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	""	NA	NA	NA	NA	8062	NA	NA	NA	245	59.26	32866268	23.89	16.8	2.405	1.362	5819.495	NA	276.045	3.94	NA	NA	26.664	NA	61.15	0.581	NA
"34"	"AGO"	"Africa"	"Angola"	"2021-04-30"	26652	221	196.143	596	2	3.143	810.923	6.724	5.968	18.134	0.061	0.096	1.16	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	""	NA	NA	NA	NA	8959	NA	NA	NA	273	58.33	32866268	23.89	16.8	2.405	1.362	5819.495	NA	276.045	3.94	NA	NA	26.664	NA	61.15	0.581	NA
"35"	"AGO"	"Africa"	"Angola"	"2021-05-31"	34551	185	275.429	766	2	5	1051.26	5.629	8.38	23.307	0.061	0.152	0.94	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	""	909215	679034	230181	NA	12888	2.77	2.07	0.7	392	33.33	32866268	23.89	16.8	2.405	1.362	5819.495	NA	276.045	3.94	NA	NA	26.664	NA	61.15	0.581	NA
"36"	"AGO"	"Africa"	"Angola"	"2021-06-30"	38849	167	121	900	6	3.143	1182.033	5.081	3.682	27.384	0.183	0.096	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	""	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	32866268	23.89	16.8	2.405	1.362	5819.495	NA	276.045	3.94	NA	NA	26.664	NA	61.15	0.581	NA
"37"	"AIA"	"North America"	"Anguilla"	"2021-02-28"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	""	NA	NA	NA	NA	89	NA	NA	NA	5933	NA	15002	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	81.88	NA	NA
"38"	"AIA"	"North America"	"Anguilla"	"2021-03-31"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	""	NA	NA	NA	NA	20	NA	NA	NA	1333	NA	15002	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	81.88	NA	NA
